,Name,Position,Appearances,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
0,Tammy Abraham ,Forward,22,,,7,,,5,5,17,14,,,,,,,,,,1,205,9.32,1,6,,,,0,0,22,4,6,0,4,1,0,0.27,0,0,32,13,41%,4,,,,,,,,
1,Che Adams ,Forward,36,,,25,,,10,4,17,9,,,,,,,,,,5,610,16.94,9,6,,,,1,0,30,19,9,0,8,1,1,0.25,0,0,55,31,56%,17,,,,,,,,
2,Tosin Adarabioyo ,Defender,33,9,41,37,51%,0,2,42,193,99,0,143,136,83,11,83,39,1,1,0,"1,905",57.73,0,2,0%,0,118,1,0,16,2,0,0,0,0,0,,,,,,,,,,,,,,,
3,Dennis Adeniran ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
4,Adrián ,Goalkeeper,3,1,9,,,,,,,,,,,,,,,0,1,0,80,26.67,,,,,10,0,0,0,,0,,,,,,,,,,,,10,0,3,0,0,4,19,22
5,Adrien Silva ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
6,Oladapo Afolayan ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
7,Sergio Agüero ,Forward,12,,,4,,,2,2,0,0,,,,,,,,,,1,171,14.25,3,1,,,,0,0,2,1,4,1,3,0,0,0.33,1,0,19,12,63%,2,,,,,,,,
8,Ahmed El Mohamady ,Defender,14,3,9,17,76%,0,1,17,22,17,0,63,40,24,2,18,9,0,0,0,470,33.57,1,39,26%,0,30,2,0,6,0,0,0,0,0,0,,,,,,,,,,,,,,,
9,Ahmed Hegazi ,Defender,1,1,0,0,0%,0,0,1,7,6,0,8,5,2,0,5,2,0,0,0,56,56.00,0,0,0%,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
10,Ola Aina ,Defender,31,7,36,37,54%,0,3,45,81,41,0,147,114,111,21,31,36,0,0,1,"1,462",47.16,1,52,17%,0,66,3,0,32,2,2,0,0,1,0,,,,,,,,,,,,,,,
11,Rayan Aït-Nouri ,Defender,21,3,23,29,55%,0,5,15,18,8,0,86,79,99,26,5,23,0,0,1,627,29.86,1,61,20%,0,16,1,0,15,1,1,0,0,1,0,,,,,,,,,,,,,,,
12,Semi Ajayi ,Defender,33,1,71,40,35%,0,1,42,118,50,3,161,128,112,10,75,55,0,0,0,937,28.39,1,7,14%,0,59,3,1,28,1,2,2,0,0,0,,,,,,,,,,,,,,,
13,Albian Ajeti ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
14,Nathan Aké ,Defender,10,3,13,10,50%,0,1,9,22,11,0,30,38,28,0,24,17,0,0,0,751,75.10,0,1,0%,0,14,4,0,8,0,1,1,0,0,0,,,,,,,,,,,,,,,
15,Marc Albrighton ,Midfielder,31,,,33,58%,,7,17,20,10,,138,99,132,37,10,36,,0,5,749,24.16,8,118,19%,1,39,2,0,9,4,1,0,1,0,1,0.03,0,0,21,10,48%,1,,,,,,,,
16,Toby Alderweireld ,Defender,25,9,25,35,63%,0,4,10,115,65,1,117,87,66,4,46,36,1,0,0,"1,437",57.48,1,1,100%,2,111,2,0,17,0,1,1,0,0,1,,,,,,,,,,,,,,,
17,Ajibola Alese ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
18,Alex Telles ,Defender,9,1,11,14,50%,0,1,16,18,15,0,45,36,36,3,17,14,0,0,2,458,50.89,1,55,22%,1,14,0,0,4,1,0,0,0,0,1,,,,,,,,,,,,,,,
19,Trent Alexander-Arnold ,Defender,36,10,40,56,59%,0,21,49,43,13,0,258,105,115,32,8,23,0,1,7,"2,381",66.14,14,297,23%,6,151,2,0,21,5,2,0,2,0,2,,,,,,,,,,,,,,,
20,Ali Koiki ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
21,Ezgjan Alioski ,Midfielder,36,,,74,42%,,7,23,40,21,,146,168,154,11,40,44,,0,3,"1,377",38.25,4,62,23%,1,30,7,0,39,6,2,0,0,2,1,0.06,0,0,25,8,32%,1,,,,,,,,
22,Alisson ,Goalkeeper,33,10,32,,,,,,,,,,,,,,,0,3,0,988,29.94,,,,,105,1,0,1,,1,,,,,,,,,,,,84,1,17,18,2,25,165,173
23,Allan ,Midfielder,24,,,80,56%,,1,19,23,8,,187,145,151,31,5,11,,0,0,"1,055",43.96,0,4,25%,1,57,6,0,37,0,0,0,0,0,0,0.00,0,0,7,2,29%,0,,,,,,,,
24,Dele Alli ,Midfielder,15,,,18,61%,,3,7,3,3,,50,49,63,11,8,11,,0,1,330,22.00,2,10,20%,1,5,0,0,10,1,0,0,0,0,1,0.00,0,0,12,4,33%,3,,,,,,,,
25,Miguel Almirón ,Midfielder,34,,,49,59%,,11,25,18,6,,163,135,144,39,8,17,,1,1,850,25.00,4,39,21%,3,33,3,0,18,6,4,0,0,4,2,0.12,0,0,33,15,45%,3,,,,,,,,
26,Marcos Alonso ,Defender,13,4,13,13,23%,0,8,12,28,19,0,59,57,52,9,23,15,0,0,0,508,39.08,3,24,13%,0,16,2,0,13,2,2,0,1,1,2,,,,,,,,,,,,,,,
27,Frederik Alves ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
28,Steven Alzate ,Midfielder,15,,,17,,,4,8,9,6,,,,,,,,,,0,437,29.13,1,3,,,,2,0,20,1,1,0,1,0,0,0.07,0,0,7,2,29%,0,,,,,,,,
29,Amad Diallo ,Forward,3,,,3,,,0,0,1,0,,,,,,,,,,1,63,21.00,1,0,,,,0,0,2,0,0,0,0,0,0,0.00,0,0,1,1,100%,0,,,,,,,,
30,Daniel Amartey ,Defender,12,0,12,11,64%,0,1,12,24,13,0,60,32,28,1,19,16,0,0,0,454,37.83,0,1,0%,0,17,3,0,3,0,1,1,0,0,0,,,,,,,,,,,,,,,
31,Ethan Ampadu ,Defender,25,2,41,57,63%,0,1,49,83,35,0,114,147,86,13,52,29,1,1,0,"1,006",40.24,2,19,32%,0,56,3,0,25,1,0,0,0,0,0,,,,,,,,,,,,,,,
32,Joseph Anang ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
33,Joachim Andersen ,Defender,31,9,35,33,58%,1,2,44,150,83,1,172,155,99,9,99,44,0,1,1,"1,958",63.16,0,12,8%,0,181,7,1,39,1,1,0,1,0,1,,,,,,,,,,,,,,,
